URL,Title,Date
https://technoindiauniversity.ac.in/images/hostel.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=14,Hostel,
https://technoindiauniversity.ac.in/index3.php?id=14,Keep Reading,
https://technoindiauniversity.ac.in/images/library.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=31,Library,
https://technoindiauniversity.ac.in/index3.php?id=31,Keep Reading,
https://technoindiauniversity.ac.in/images/class-rooms.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=34,Classrooms,
https://technoindiauniversity.ac.in/index3.php?id=34,Keep Reading,
https://technoindiauniversity.ac.in/images/faculties.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=35,Faculties,
https://technoindiauniversity.ac.in/index3.php?id=35,Keep Reading,
https://technoindiauniversity.ac.in/images/tutorial-hours.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=29,Tutorial Hours,
https://technoindiauniversity.ac.in/index3.php?id=29,Keep Reading,
https://technoindiauniversity.ac.in/images/value-added-courses.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=36,Value Added Courses,
https://technoindiauniversity.ac.in/index3.php?id=36,Keep Reading,
https://technoindiauniversity.ac.in/images/skillis-devolopment.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=37,Skill Development Center,
https://technoindiauniversity.ac.in/index3.php?id=37,Keep Reading,
https://technoindiauniversity.ac.in/images/incubation-center.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=38,Incubation Center,
https://technoindiauniversity.ac.in/index3.php?id=38,Keep Reading,
https://technoindiauniversity.ac.in/images/entreprenurship-cell.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=39,Entrepreneurship Cell,
https://technoindiauniversity.ac.in/index3.php?id=39,Keep Reading,
https://technoindiauniversity.ac.in/images/green-practice.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=40,Green Practice,
https://technoindiauniversity.ac.in/index3.php?id=40,Keep Reading,
https://technoindiauniversity.ac.in/images/awareness-program.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=68,Awareness Program,
https://technoindiauniversity.ac.in/index3.php?id=68,Keep Reading,
https://technoindiauniversity.ac.in/images/live-project.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=42,Live Projects,
https://technoindiauniversity.ac.in/index3.php?id=42,Keep Reading,
https://technoindiauniversity.ac.in/images/industrial-training.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=43,Industrial Training,
https://technoindiauniversity.ac.in/index3.php?id=43,Keep Reading,
https://technoindiauniversity.ac.in/images/paid-internship.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=44,Paid Internship,
https://technoindiauniversity.ac.in/index3.php?id=44,Keep Reading,
https://technoindiauniversity.ac.in/images/innovation3.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=88,Centre of Interdisciplinary Innovation (CII),
https://technoindiauniversity.ac.in/index3.php?id=88,Keep Reading,
https://technoindiauniversity.ac.in/images/double-decker-airport.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=57,Double Decker Airport,
https://technoindiauniversity.ac.in/index3.php?id=57,Read More,
https://technoindiauniversity.ac.in/images/enso-and-iod.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=58,A DST-SERB Project: Teleconnections of ENSO and IOD on Ocean Wave Parameters,
https://technoindiauniversity.ac.in/index3.php?id=58,Read More,
https://technoindiauniversity.ac.in/images/scatsat-1.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=59,An ISRO Project: Data Adaptive Ocean Parameters from SCATSAT-1 Wind,
https://technoindiauniversity.ac.in/index3.php?id=59,Read More,
https://technoindiauniversity.ac.in/images/research-vbcs.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=80,A DRDO Project: Design and Development of Algorithms for Vision Based Cognitive Surveillance (VBCS) System,
https://technoindiauniversity.ac.in/index3.php?id=80,Read More,
https://technoindiauniversity.ac.in/images/wave-height-statistic.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=60,"An ISRO Project: Estimation of design and operational wave height statistics to assess coastal
vulnerability along the east coast of India",
https://technoindiauniversity.ac.in/index3.php?id=60,Read More,
https://technoindiauniversity.ac.in/images/modern-wave-dominated.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=74,"A DST-SERB Project: A comprehensive sedimentological model for accreting tidal flats in a modern
wave-dominated Subarnarekha river mouth estuarine system along the coast of Bay of Bengal, Eastern India",
https://technoindiauniversity.ac.in/index3.php?id=74,Read More,
https://technoindiauniversity.ac.in/images/aravalli-supergroup.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=75,"Sedimentation pattern in a Paleoproterozoic continental rift basin, Aravalli
Supergroup of Udaipur valley, Rajasthan",
https://technoindiauniversity.ac.in/index3.php?id=75,Read More,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/#,,
https://technoindiauniversity.ac.in/images/iccece_2025.jpg,,
https://technoindiauniversity.ac.in/images/iccece_2025.jpg,IEEE International Conference,
https://technoindiauniversity.ac.in/images/iccece_2025.jpg,View More,
https://technoindiauniversity.ac.in/images/mootcourt24_v.jpg,,
https://technoindiauniversity.ac.in/images/mootcourt24_v.jpg,"Moot Court Competition, 2024",
https://technoindiauniversity.ac.in/images/mootcourt24_v.jpg,View More,
https://technoindiauniversity.ac.in/images/rupkhothas.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=89,Rupkotha - an Interactive Online Chat Show Where Students Are Interviewed About Their on-campus Placement Success and Admission Into Top Foreign Universities.,
https://technoindiauniversity.ac.in/index3.php?id=89,View More,
https://technoindiauniversity.ac.in/images/parents_diarys.jpg,,
https://technoindiauniversity.ac.in/index3.php?id=90,Dedicated to the Unforgettable Contribution of Parents to the Successful Journey of Their Children,
https://technoindiauniversity.ac.in/index3.php?id=90,View More,
https://technoindiauniversity.ac.in/images/vent24_18.jpg,,
https://www.youtube.com/watch?v=ZRYU1n_Krco&t=1s,"Mathematics for Engineering, Customization of Pure & Applied Mathematics",
https://www.youtube.com/watch?v=ZRYU1n_Krco&t=1s,View More,
https://technoindiauniversity.ac.in/images/event24_16.jpg,,
https://www.youtube.com/watch?v=prjCTxQGpII&t=5s,Shape Your Career by making the Right Choice,
https://www.youtube.com/watch?v=prjCTxQGpII&t=5s,View More,
https://technoindiauniversity.ac.in/images/event24_11.jpg,,
https://www.youtube.com/watch?v=dCQdeLIR898&t=10s,Bhalobashai Rabindranath,
https://www.youtube.com/watch?v=dCQdeLIR898&t=10s,View More,
https://technoindiauniversity.ac.in/images/event24_8.jpg,,
https://www.youtube.com/watch?v=BZp776Ke9cU,Achieve Your JEE(MAIN) Dreams : Undergo a Tension-Free Admission Process,
https://www.youtube.com/watch?v=BZp776Ke9cU,View More,
https://technoindiauniversity.ac.in/images/event24_7.jpg,,
https://www.youtube.com/live/X6_Q9dnUi2M?si=m6xkPdksxVlgXdp_,A Special Concert by Legendary Singer Indrani Sen,
https://www.youtube.com/live/X6_Q9dnUi2M?si=m6xkPdksxVlgXdp_,View More,
https://technoindiauniversity.ac.in/images/event24_6.jpg,,
https://www.youtube.com/live/msOTwZyIYPM?si=ZE9u7ed4VPDYXqDA,A Musical Adda with Rupankar Bagchi,
https://www.youtube.com/live/msOTwZyIYPM?si=ZE9u7ed4VPDYXqDA,View More,
https://technoindiauniversity.ac.in/images/event24_5.jpg,,
https://www.youtube.com/live/UqHylShd0PE?si=JTr8XBJ-aRiaMO6i,Empower Yourself: How to Achieve a Tension-free Admission Process,
https://www.youtube.com/live/UqHylShd0PE?si=JTr8XBJ-aRiaMO6i,View More,
https://technoindiauniversity.ac.in/images/event24_4.jpg,,
